Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotje01.shtml"">Jeff Abbott</a>",CHA,26,64,57,5,9,2,15,6,5,1,12,.158,.222,.263,.485,.220,-0.39
"<a href=""https://www.baseball-reference.com/players/a/abbotji01.shtml"">Jim Abbott</a>",MIL,31,24,21,0,2,0,2,3,0,0,10,.095,.095,.095,.190,.086,-0.10
"<a href=""https://www.baseball-reference.com/players/a/abbotku01.shtml"">Kurt Abbott</a>",COL,30,305,286,41,78,8,123,41,16,3,69,.273,.310,.430,.740,.322,-0.71
"<a href=""https://www.baseball-reference.com/players/a/abreubo01.shtml"">Bobby Abreu</a>",PHI,25,662,546,118,183,20,300,93,109,27,113,.335,.446,.549,.995,.429,0.00
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",SLN,29,22,20,0,1,0,1,0,0,0,16,.050,.050,.050,.100,.045,-0.25
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,26,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/a/agbaybe01.shtml"">B. Agbayani</a>",NYN,27,314,276,42,79,14,145,42,32,6,60,.286,.363,.525,.888,.377,0.00
"<a href=""https://www.baseball-reference.com/players/a/aguilri01.shtml"">R. Aguilera</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteaguilri01"" style=""display:none;""></input><label for=""footnoteaguilri01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivaguilri01"">MIN, CHN</div></span>",37,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/a/aldresc01.shtml"">Scott Aldred</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealdresc01"" style=""display:none;""></input><label for=""footnotealdresc01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivaldresc01"">TBA, PHI</div></span>",31,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">M. Alexander</a>",CHN,28,189,177,17,48,0,63,15,10,4,38,.271,.309,.356,.664,.296,0.22
