Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotje01.shtml"">Jeff Abbott</a>",CHA,25,260,244,33,68,12,120,41,9,3,28,.279,.298,.492,.790,.334,-0.56
"<a href=""https://www.baseball-reference.com/players/a/abbotku01.shtml"">Kurt Abbott</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteabbotku01"" style=""display:none;""></input><label for=""footnoteabbotku01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivabbotku01"">OAK, COL</div></span>",29,212,194,26,51,5,81,24,12,2,53,.263,.308,.418,.726,.301,-0.55
"<a href=""https://www.baseball-reference.com/players/a/abreubo01.shtml"">Bobby Abreu</a>",PHI,24,589,497,68,155,17,247,74,84,19,133,.312,.409,.497,.906,.390,0.00
"<a href=""https://www.baseball-reference.com/players/a/aceveju01.shtml"">Juan Acevedo</a>",SLN,28,20,17,2,3,0,4,0,1,0,5,.176,.222,.235,.458,.209,0.04
"<a href=""https://www.baseball-reference.com/players/a/adamsjo02.shtml"">Joel Adamson</a>",ARI,26,8,7,0,3,0,4,1,0,0,0,.429,.429,.571,1.000,.436,0.08
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,25,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/a/agbaybe01.shtml"">B. Agbayani</a>",NYN,26,16,15,1,2,0,2,0,1,0,5,.133,.188,.133,.321,.157,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">M. Alexander</a>",CHN,27,289,264,34,60,5,87,25,18,4,66,.227,.278,.330,.608,.271,-1.04
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",FLO,26,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.06
"<a href=""https://www.baseball-reference.com/players/a/alfoned01.shtml"">E. Alfonzo</a>",NYN,24,630,557,94,155,17,238,78,65,8,77,.278,.355,.427,.782,.347,2.68
"<a href=""https://www.baseball-reference.com/players/a/alicelu01.shtml"">Luis Alicea</a>",TEX,32,308,259,51,71,6,110,33,37,4,40,.274,.372,.425,.796,.355,1.80
"<a href=""https://www.baseball-reference.com/players/a/allenje01.shtml"">J. Allensworth</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteallenje01"" style=""display:none;""></input><label for=""footnoteallenje01"" class=""footnoteLabel"">3</label><div class=""footnoteDiv"" id=""footnoteDivallenje01"">PIT, KCA, NYN</div></span>",26,409,360,54,98,5,139,31,28,15,76,.272,.344,.386,.730,.307,1.63
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">R. Alomar</a>",BAL,30,657,588,86,166,14,246,56,59,18,70,.282,.347,.418,.765,.337,0.00
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",CLE,32,438,409,45,96,6,144,44,18,0,45,.235,.270,.352,.622,.274,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",HOU,31,679,584,104,182,38,340,124,84,11,87,.312,.399,.582,.981,.415,6.17
"<a href=""https://www.baseball-reference.com/players/a/alvarga01.shtml"">Gabe Alvarez</a>",DET,24,221,199,16,46,5,72,29,18,1,65,.231,.299,.362,.660,.293,-0.95
"<a href=""https://www.baseball-reference.com/players/a/amarari01.shtml"">Rich Amaral</a>",SEA,36,149,134,25,37,1,46,4,13,11,24,.276,.342,.343,.686,.312,0.17
"<a href=""https://www.baseball-reference.com/players/a/amaroru02.shtml"">Ruben Amaro</a>",PHI,33,117,107,7,20,1,28,10,6,0,15,.187,.224,.262,.486,.217,-0.90
"<a href=""https://www.baseball-reference.com/players/a/anderbr01.shtml"">B. Anderson</a>",BAL,34,574,479,84,113,18,201,51,75,21,78,.236,.356,.420,.776,.347,1.47
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",ARI,26,75,66,6,7,0,7,0,3,1,19,.106,.145,.106,.251,.122,-0.43
"<a href=""https://www.baseball-reference.com/players/a/anderga01.shtml"">G. Anderson</a>",ANA,26,658,622,62,183,15,283,79,29,8,80,.294,.325,.455,.780,.334,0.25
"<a href=""https://www.baseball-reference.com/players/a/anderma02.shtml"">M. Anderson</a>",PHI,24,45,43,4,14,1,20,4,1,2,6,.326,.333,.465,.798,.344,0.00
"<a href=""https://www.baseball-reference.com/players/a/andresh01.shtml"">S. Andrews</a>",MON,26,559,492,48,117,25,224,69,58,1,137,.238,.314,.455,.769,.331,0.00
"<a href=""https://www.baseball-reference.com/players/a/ariasal01.shtml"">Alex Arias</a>",PHI,30,149,133,17,39,1,50,16,13,2,18,.293,.358,.376,.734,.323,0.59
"<a href=""https://www.baseball-reference.com/players/a/ariasge01.shtml"">George Arias</a>",SDN,26,41,36,4,7,1,13,4,3,0,16,.194,.293,.361,.654,.294,0.10
"<a href=""https://www.baseball-reference.com/players/a/arrojro01.shtml"">R. Arrojo</a>",TBA,32,3,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/a/ashbyan01.shtml"">Andy Ashby</a>",SDN,30,83,72,1,8,0,10,2,2,0,35,.111,.135,.139,.274,.126,0.00
"<a href=""https://www.baseball-reference.com/players/a/ashlebi01.shtml"">Billy Ashley</a>",BOS,27,26,24,3,7,3,19,7,2,0,11,.292,.346,.792,1.138,.466,0.17
"<a href=""https://www.baseball-reference.com/players/a/astacpe01.shtml"">P. Astacio</a>",COL,29,75,62,4,8,0,10,3,0,0,21,.129,.156,.161,.318,.147,0.00
"<a href=""https://www.baseball-reference.com/players/a/aurilri01.shtml"">Rich Aurilia</a>",SFN,26,453,413,54,110,9,168,49,31,3,62,.266,.319,.407,.726,.317,0.00
"<a href=""https://www.baseball-reference.com/players/a/ausmubr01.shtml"">Brad Ausmus</a>",HOU,29,472,412,62,111,6,147,45,53,10,60,.269,.356,.357,.713,.316,1.74
"<a href=""https://www.baseball-reference.com/players/a/averyst01.shtml"">Steve Avery</a>",BOS,28,1,1,2,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/a/aybarma01.shtml"">Manny Aybar</a>",SLN,26,28,27,4,6,1,9,3,0,0,9,.222,.222,.333,.556,.241,0.00
"<a href=""https://www.baseball-reference.com/players/b/baergca01.shtml"">C. Baerga</a>",NYN,29,551,511,46,136,7,186,53,24,0,55,.266,.303,.364,.667,.291,0.00
"<a href=""https://www.baseball-reference.com/players/b/bagweje01.shtml"">Jeff Bagwell</a>",HOU,30,661,540,124,164,34,301,111,109,19,90,.304,.424,.557,.981,.421,6.32
"<a href=""https://www.baseball-reference.com/players/b/baineha01.shtml"">H. Baines</a>",BAL,39,328,293,40,88,9,132,57,32,0,40,.300,.369,.451,.819,.357,0.92
"<a href=""https://www.baseball-reference.com/players/b/bakopa01.shtml"">Paul Bako</a>",DET,26,333,305,23,83,3,106,30,23,1,82,.272,.319,.348,.667,.294,0.00
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">J. Baldwin</a>",CHA,26,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/ballje01.shtml"">Jeff Ball</a>",SFN,29,4,4,0,1,0,1,0,0,0,0,.250,.250,.250,.500,.224,-0.06
"<a href=""https://www.baseball-reference.com/players/b/banksbr01.shtml"">Brian Banks</a>",MIL,27,28,24,3,7,1,12,5,4,0,7,.292,.393,.500,.893,.392,0.07
"<a href=""https://www.baseball-reference.com/players/b/bankswi01.shtml"">Willie Banks</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebankswi01"" style=""display:none;""></input><label for=""footnotebankswi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbankswi01"">NYA, ARI</div></span>",29,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/barremi01.shtml"">M. Barrett</a>",MON,21,27,23,3,7,1,12,2,3,0,6,.304,.407,.522,.929,.407,0.15
"<a href=""https://www.baseball-reference.com/players/b/barryje01.shtml"">Jeff Barry</a>",COL,28,37,34,4,6,0,7,2,2,0,11,.176,.216,.206,.422,.194,-0.17
"<a href=""https://www.baseball-reference.com/players/b/barteki01.shtml"">K. Bartee</a>",DET,25,105,98,20,19,3,35,15,6,9,35,.194,.238,.357,.595,.259,0.43
"<a href=""https://www.baseball-reference.com/players/b/batesja01.shtml"">Jason Bates</a>",COL,27,82,74,10,14,0,17,3,8,0,21,.189,.268,.230,.498,.230,-0.87
"<a href=""https://www.baseball-reference.com/players/b/batismi01.shtml"">M. Batista</a>",MON,27,34,32,0,0,0,0,0,0,0,21,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/batisto01.shtml"">Tony Batista</a>",ARI,24,318,293,46,80,18,152,41,18,1,52,.273,.318,.519,.836,.356,0.00
"<a href=""https://www.baseball-reference.com/players/b/baughju01.shtml"">J. Baughman</a>",ANA,23,211,196,24,50,1,64,20,6,10,36,.255,.277,.327,.603,.267,-0.32
"<a href=""https://www.baseball-reference.com/players/b/bautida01.shtml"">D. Bautista</a>",ATL,26,156,144,17,36,3,56,17,7,1,21,.250,.281,.389,.670,.291,0.00
"<a href=""https://www.baseball-reference.com/players/b/beamotr01.shtml"">Trey Beamon</a>",DET,24,48,42,4,11,0,15,2,5,1,13,.262,.340,.357,.698,.317,-0.13
"<a href=""https://www.baseball-reference.com/players/b/beckeri01.shtml"">Rich Becker</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeckeri01"" style=""display:none;""></input><label for=""footnotebeckeri01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeckeri01"">NYN, BAL</div></span>",26,260,213,37,42,6,69,21,43,5,76,.197,.337,.324,.661,.298,0.00
"<a href=""https://www.baseball-reference.com/players/b/beckro01.shtml"">Rod Beck</a>",CHN,29,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/beechma01.shtml"">Matt Beech</a>",PHI,26,39,33,2,5,0,5,2,0,0,10,.152,.152,.152,.303,.136,-0.18
"<a href=""https://www.baseball-reference.com/players/b/belchti01.shtml"">Tim Belcher</a>",KCA,36,6,5,1,1,0,1,0,0,0,2,.200,.200,.200,.400,.180,-0.01
"<a href=""https://www.baseball-reference.com/players/b/belinst01.shtml"">Stan Belinda</a>",CIN,31,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellda01.shtml"">David Bell</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebellda01"" style=""display:none;""></input><label for=""footnotebellda01"" class=""footnoteLabel"">3</label><div class=""footnoteDiv"" id=""footnoteDivbellda01"">SLN, CLE, SEA</div></span>",25,464,429,48,117,10,181,49,27,0,65,.273,.315,.422,.737,.302,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellde01.shtml"">Derek Bell</a>",HOU,29,695,630,111,198,22,309,108,51,13,126,.314,.364,.490,.855,.371,5.39
"<a href=""https://www.baseball-reference.com/players/b/belleal01.shtml"">Albert Belle</a>",CHA,31,706,609,113,200,49,399,152,81,6,84,.328,.399,.655,1.055,.437,7.07
