Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotpa01.shtml"">Paul Abbott</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteabbotpa01"" style=""display:none;""></input><label for=""footnoteabbotpa01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivabbotpa01"">TBA, PHI</div></span>",36,14,11,1,2,0,2,2,0,0,4,.182,.182,.182,.364,.162,0.01
"<a href=""https://www.baseball-reference.com/players/a/abreubo01.shtml"">Bobby Abreu</a>",PHI,30,713,574,118,173,30,312,105,127,40,116,.301,.428,.544,.971,.413,0.00
"<a href=""https://www.baseball-reference.com/players/a/acevejo01.shtml"">Jose Acevedo</a>",CIN,26,52,43,0,2,0,2,1,3,0,26,.047,.106,.047,.153,.083,-0.37
"<a href=""https://www.baseball-reference.com/players/a/adamsru01.shtml"">Russ Adams</a>",TOR,23,78,72,10,22,4,38,10,5,1,5,.306,.359,.528,.887,.380,0.63
"<a href=""https://www.baseball-reference.com/players/a/aguilch01.shtml"">Chris Aguila</a>",FLO,25,48,45,10,10,3,23,5,2,0,12,.222,.255,.511,.766,.319,0.03
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">M. Alexander</a>",TEX,33,22,21,3,5,0,7,3,1,0,7,.238,.273,.333,.606,.267,-0.05
"<a href=""https://www.baseball-reference.com/players/a/alfarja01.shtml"">Jason Alfaro</a>",HOU,26,12,11,1,2,0,2,0,0,0,5,.182,.182,.182,.364,.162,-0.18
"<a href=""https://www.baseball-reference.com/players/a/alfonan01.shtml"">A. Alfonseca</a>",ATL,32,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/a/alfoned01.shtml"">E. Alfonzo</a>",SFN,30,576,519,66,150,11,211,77,46,1,40,.289,.350,.407,.757,.333,0.55
"<a href=""https://www.baseball-reference.com/players/a/allench01.shtml"">Chad Allen</a>",TEX,29,63,58,4,14,0,20,6,2,0,13,.241,.262,.345,.607,.262,-0.35
"<a href=""https://www.baseball-reference.com/players/a/almanar01.shtml"">A. Almanza</a>",ATL,31,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,0.02
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">R. Alomar</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealomaro01"" style=""display:none;""></input><label for=""footnotealomaro01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalomaro01"">ARI, CHA</div></span>",36,190,171,18,45,4,67,24,14,0,31,.263,.321,.392,.713,.296,-0.72
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",CHA,38,164,146,15,35,2,45,14,11,0,13,.240,.298,.308,.606,.268,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",CHN,37,675,601,106,176,39,335,106,68,3,80,.293,.361,.557,.919,.387,3.97
"<a href=""https://www.baseball-reference.com/players/a/alvarto01.shtml"">Tony Alvarez</a>",PIT,25,45,38,5,8,1,13,8,4,0,7,.211,.289,.342,.631,.277,-0.26
"<a href=""https://www.baseball-reference.com/players/a/alvarwi01.shtml"">W. Alvarez</a>",LAN,34,34,31,4,5,0,5,0,1,0,14,.161,.188,.161,.349,.161,-0.05
"<a href=""https://www.baseball-reference.com/players/a/amezaal01.shtml"">A. Amezaga</a>",ANA,26,105,93,12,15,2,23,11,3,3,24,.161,.212,.247,.459,.208,-0.37
"<a href=""https://www.baseball-reference.com/players/a/anderbr02.shtml"">B. Anderson</a>",KCA,32,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/a/anderga01.shtml"">G. Anderson</a>",ANA,32,475,442,57,133,14,197,75,29,2,75,.301,.343,.446,.789,.338,1.98
"<a href=""https://www.baseball-reference.com/players/a/anderji02.shtml"">J. Anderson</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteanderji02"" style=""display:none;""></input><label for=""footnoteanderji02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivanderji02"">CHN, BOS</div></span>",28,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.01
"<a href=""https://www.baseball-reference.com/players/a/anderma02.shtml"">M. Anderson</a>",SLN,30,271,253,31,60,8,96,28,12,6,38,.237,.269,.379,.649,.277,0.00
"<a href=""https://www.baseball-reference.com/players/a/ankieri01.shtml"">Rick Ankiel</a>",SLN,24,2,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500,.354,0.00
"<a href=""https://www.baseball-reference.com/players/a/aquingr01.shtml"">Greg Aquino</a>",ARI,26,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.01
"<a href=""https://www.baseball-reference.com/players/a/ardoida01.shtml"">Danny Ardoin</a>",TEX,29,11,8,1,1,0,1,1,3,0,2,.125,.364,.125,.489,.274,0.00
"<a href=""https://www.baseball-reference.com/players/a/armasto02.shtml"">Tony Armas</a>",MON,26,21,16,0,0,0,0,0,0,0,5,.000,.000,.000,.000,.000,-0.34
"<a href=""https://www.baseball-reference.com/players/a/arroybr01.shtml"">B. Arroyo</a>",BOS,27,7,6,0,0,0,0,0,0,0,5,.000,.000,.000,.000,.000,-0.11
"<a href=""https://www.baseball-reference.com/players/a/atkinga01.shtml"">G. Atkins</a>",COL,24,33,28,3,10,1,15,8,4,0,3,.357,.424,.536,.960,.410,0.30
"<a href=""https://www.baseball-reference.com/players/a/aurilri01.shtml"">Rich Aurilia</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteaurilri01"" style=""display:none;""></input><label for=""footnoteaurilri01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivaurilri01"">SEA, SDN</div></span>",32,450,399,49,98,6,141,44,37,1,71,.246,.314,.353,.667,.287,0.32
"<a href=""https://www.baseball-reference.com/players/a/ausmubr01.shtml"">Brad Ausmus</a>",HOU,35,448,403,38,100,5,131,31,33,2,56,.248,.306,.325,.631,.272,-0.10
"<a href=""https://www.baseball-reference.com/players/a/ayalalu01.shtml"">Luis Ayala</a>",MON,26,10,9,0,3,0,4,0,0,0,3,.333,.333,.444,.778,.336,0.00
"<a href=""https://www.baseball-reference.com/players/b/backebr01.shtml"">B. Backe</a>",HOU,26,21,16,3,5,1,8,6,1,0,8,.312,.389,.500,.889,.388,0.39
"<a href=""https://www.baseball-reference.com/players/b/baergca01.shtml"">C. Baerga</a>",ARI,35,94,85,6,20,2,28,11,6,0,12,.235,.309,.329,.638,.289,-0.37
"<a href=""https://www.baseball-reference.com/players/b/bagweje01.shtml"">Jeff Bagwell</a>",HOU,36,679,572,104,152,27,266,89,96,6,131,.266,.377,.465,.842,.365,3.69
"<a href=""https://www.baseball-reference.com/players/b/bakopa01.shtml"">Paul Bako</a>",CHN,32,157,138,13,28,1,39,10,15,1,29,.203,.288,.283,.571,.254,-0.06
"<a href=""https://www.baseball-reference.com/players/b/baldero01.shtml"">R. Baldelli</a>",TBA,22,565,518,79,145,16,226,74,30,17,88,.280,.326,.436,.762,.328,2.99
"<a href=""https://www.baseball-reference.com/players/b/baldwja01.shtml"">J. Baldwin</a>",NYN,32,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.01
"<a href=""https://www.baseball-reference.com/players/b/barajro01.shtml"">Rod Barajas</a>",TEX,28,389,358,50,89,15,162,58,13,0,63,.249,.276,.453,.728,.307,0.00
"<a href=""https://www.baseball-reference.com/players/b/bardjo01.shtml"">Josh Bard</a>",CLE,26,23,19,5,8,1,13,4,3,0,0,.421,.478,.684,1.162,.480,0.32
"<a href=""https://www.baseball-reference.com/players/b/barmecl01.shtml"">Clint Barmes</a>",COL,25,77,71,14,20,2,31,10,3,0,10,.282,.320,.437,.757,.328,0.39
"<a href=""https://www.baseball-reference.com/players/b/barremi01.shtml"">M. Barrett</a>",CHN,27,506,456,55,131,16,223,65,33,1,64,.287,.337,.489,.826,.349,1.52
"<a href=""https://www.baseball-reference.com/players/b/bartlja01.shtml"">J. Bartlett</a>",MIN,24,14,12,2,1,0,1,1,1,2,1,.083,.154,.083,.237,.123,-0.08
"<a href=""https://www.baseball-reference.com/players/b/batismi01.shtml"">M. Batista</a>",TOR,33,5,5,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/batisto01.shtml"">Tony Batista</a>",MON,30,650,606,76,146,32,276,110,26,14,78,.241,.272,.455,.728,.304,-0.15
"<a href=""https://www.baseball-reference.com/players/b/bautida01.shtml"">D. Bautista</a>",ARI,32,582,539,64,154,11,216,65,35,6,66,.286,.332,.401,.733,.321,-1.23
"<a href=""https://www.baseball-reference.com/players/b/bautijo02.shtml"">J. Bautista</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebautijo02"" style=""display:none;""></input><label for=""footnotebautijo02"" class=""footnoteLabel"">4</label><div class=""footnoteDiv"" id=""footnoteDivbautijo02"">BAL, TBA, KCA, PIT</div></span>",23,96,88,6,18,0,21,2,7,0,40,.205,.263,.239,.502,.228,-0.93
"<a href=""https://www.baseball-reference.com/players/b/bayja01.shtml"">Jason Bay</a>",PIT,25,472,411,61,116,26,226,82,41,4,129,.282,.358,.550,.907,.382,0.00
"<a href=""https://www.baseball-reference.com/players/b/beckejo02.shtml"">Josh Beckett</a>",FLO,24,55,44,2,7,0,8,2,2,0,18,.159,.196,.182,.377,.174,0.10
"<a href=""https://www.baseball-reference.com/players/b/bedarer01.shtml"">Erik Bedard</a>",BAL,25,5,4,0,0,0,0,0,1,0,3,.000,.200,.000,.200,.141,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bellda01.shtml"">David Bell</a>",PHI,31,603,533,67,155,18,244,77,57,1,75,.291,.363,.458,.821,.355,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellhe01.shtml"">Heath Bell</a>",NYN,26,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.01
"<a href=""https://www.baseball-reference.com/players/b/bellhma01.shtml"">M. Bellhorn</a>",BOS,29,620,523,93,138,17,232,82,88,6,177,.264,.373,.444,.817,.359,3.66
"<a href=""https://www.baseball-reference.com/players/b/belliro01.shtml"">R. Belliard</a>",CLE,29,663,599,78,169,12,255,70,60,3,98,.282,.348,.426,.774,.337,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellro01.shtml"">Rob Bell</a>",TBA,27,5,5,1,1,0,2,0,0,0,2,.200,.200,.400,.600,.249,0.03
"<a href=""https://www.baseball-reference.com/players/b/beltrad01.shtml"">A. Beltre</a>",LAN,25,657,598,104,200,48,376,121,53,7,87,.334,.388,.629,1.017,.423,9.55
"<a href=""https://www.baseball-reference.com/players/b/beltrca01.shtml"">C. Beltran</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeltrca01"" style=""display:none;""></input><label for=""footnotebeltrca01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeltrca01"">KCA, HOU</div></span>",27,708,599,121,160,38,328,104,92,42,101,.267,.367,.548,.915,.374,2.32
"<a href=""https://www.baseball-reference.com/players/b/beltrfr01.shtml"">F. Beltran</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebeltrfr01"" style=""display:none;""></input><label for=""footnotebeltrfr01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbeltrfr01"">CHN, MON</div></span>",24,3,3,0,1,0,1,0,0,0,0,.333,.333,.333,.667,.297,0.02
"<a href=""https://www.baseball-reference.com/players/b/benitar01.shtml"">A. Benitez</a>",FLO,31,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/bennega01.shtml"">Gary Bennett</a>",MIL,32,246,219,18,49,3,72,20,22,1,32,.224,.297,.329,.626,.275,-0.66
"<a href=""https://www.baseball-reference.com/players/b/benneje01.shtml"">Jeff Bennett</a>",MIL,24,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.03
"<a href=""https://www.baseball-reference.com/players/b/benoijo01.shtml"">J. Benoit</a>",TEX,26,6,6,1,0,0,0,0,0,0,4,.000,.000,.000,.000,.000,-0.06
