Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/abbotku01.shtml"">Kurt Abbott</a>",FLO,27,349,320,37,81,8,137,33,22,3,99,.253,.307,.428,.735,.319,0.00
"<a href=""https://www.baseball-reference.com/players/a/abreubo01.shtml"">Bobby Abreu</a>",HOU,22,24,22,1,5,0,6,1,2,0,3,.227,.292,.273,.564,.262,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamste01.shtml"">Terry Adams</a>",CHN,23,7,6,0,0,0,0,0,1,0,3,.000,.143,.000,.143,.103,-0.04
"<a href=""https://www.baseball-reference.com/players/a/aldremi01.shtml"">Mike Aldrete</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealdremi01"" style=""display:none;""></input><label for=""footnotealdremi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivaldremi01"">CAL, NYA</div></span>",35,123,108,16,23,6,47,20,14,0,19,.213,.301,.435,.736,.317,-0.37
"<a href=""https://www.baseball-reference.com/players/a/alexama02.shtml"">M. Alexander</a>",BAL,25,73,68,6,7,0,7,4,3,3,27,.103,.141,.103,.244,.119,0.00
"<a href=""https://www.baseball-reference.com/players/a/alfoned01.shtml"">E. Alfonzo</a>",NYN,22,407,368,36,96,4,127,40,25,2,56,.261,.304,.345,.649,.288,1.01
"<a href=""https://www.baseball-reference.com/players/a/alicelu01.shtml"">Luis Alicea</a>",SLN,30,447,380,54,98,5,145,42,52,11,78,.258,.350,.382,.731,.320,1.06
"<a href=""https://www.baseball-reference.com/players/a/allenje01.shtml"">J. Allensworth</a>",PIT,24,260,229,32,60,4,87,31,23,11,50,.262,.337,.380,.717,.322,0.00
"<a href=""https://www.baseball-reference.com/players/a/alomaro01.shtml"">R. Alomar</a>",BAL,28,699,588,132,193,22,310,94,90,17,65,.328,.411,.527,.938,.402,0.00
"<a href=""https://www.baseball-reference.com/players/a/alomasa02.shtml"">Sandy Alomar</a>",CLE,30,444,418,53,110,11,166,50,19,1,42,.263,.299,.397,.696,.305,0.00
"<a href=""https://www.baseball-reference.com/players/a/aloumo01.shtml"">Moises Alou</a>",MON,29,598,540,87,152,21,247,96,49,9,83,.281,.339,.457,.797,.342,1.22
"<a href=""https://www.baseball-reference.com/players/a/alstoga01.shtml"">G. Alston</a>",COL,24,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/a/alvarta01.shtml"">Tavo Alvarez</a>",MON,24,5,4,0,2,0,2,0,0,0,1,.500,.500,.500,1.000,.450,0.11
"<a href=""https://www.baseball-reference.com/players/a/amarari01.shtml"">Rich Amaral</a>",SEA,34,369,312,69,91,1,111,29,47,25,55,.292,.392,.356,.748,.346,1.70
"<a href=""https://www.baseball-reference.com/players/a/amaroru02.shtml"">Ruben Amaro</a>",PHI,31,130,117,14,37,2,53,15,9,0,18,.316,.380,.453,.833,.370,0.71
"<a href=""https://www.baseball-reference.com/players/a/anderbr01.shtml"">B. Anderson</a>",BAL,32,687,579,117,172,50,369,110,76,21,106,.297,.396,.637,1.034,.434,6.92
"<a href=""https://www.baseball-reference.com/players/a/anderga01.shtml"">G. Anderson</a>",CAL,24,642,607,79,173,12,246,72,27,7,84,.285,.314,.405,.719,.312,0.81
"<a href=""https://www.baseball-reference.com/players/a/andresh01.shtml"">S. Andrews</a>",MON,24,414,375,43,85,19,161,64,35,3,119,.227,.295,.429,.724,.307,0.00
"<a href=""https://www.baseball-reference.com/players/a/anthoer01.shtml"">Eric Anthony</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnoteanthoer01"" style=""display:none;""></input><label for=""footnoteanthoer01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivanthoer01"">CIN, COL</div></span>",28,218,185,32,45,12,89,22,32,0,56,.243,.353,.481,.834,.354,-0.83
"<a href=""https://www.baseball-reference.com/players/a/ariasal01.shtml"">Alex Arias</a>",FLO,28,246,224,27,62,3,86,26,17,2,28,.277,.335,.384,.719,.320,1.39
